1_490,2,,,,,,,,,,
1_450,1,,,,,,,,,,
1_390,1,,,,,,,,,,
1_370,1,,,,,,,,,,
1_530,2,,,,Session1,1,2,L key 비율,,Session1,L key 비율
1_470,2,,,,1_370,20,3,0.130434783,,370,0.130434783
1_470,2,,,,1_390,23,2,0.08,,390,0.08
1_430,1,,,,1_410,25,3,0.107142857,,410,0.107142857
1_410,1,,,,1_430,13,2,0.133333333,,430,0.133333333
1_490,2,,,,1_450,20,3,0.130434783,,450,0.130434783
1_410,1,,,,1_470,10,18,0.642857143,,470,0.642857143
1_410,1,,,,1_490,6,22,0.785714286,,490,0.785714286
1_530,2,,,,1_510,4,23,0.851851852,,510,0.851851852
1_490,2,,,,1_530,0,28,1,,530,1
1_430,1,,,,,,,,,459.2947387,0.5
1_430,2,,,,,,,,,,
1_490,1,,,,,,,,,,
1_530,2,,,,Session2,1,2,L key 비율,,Session2,L key 비율
1_410,1,,,,2_370,24,0,0,,370,0
1_410,1,,,,2_390,32,0,0,,390,0
1_390,1,,,,2_410,25,0,0,,410,0
1_410,1,,,,2_430,21,5,0.192307692,,430,0.192307692
1_450,1,,,,2_450,15,8,0.347826087,,450,0.347826087
1_490,2,,,,2_470,22,12,0.352941176,,470,0.352941176
1_470,2,,,,2_490,3,20,0.869565217,,490,0.869565217
1_430,1,,,,2_510,2,16,0.888888889,,510,0.888888889
1_390,1,,,,2_530,0,20,1,,530,1
1_490,2,,,,,,,,,461.9885316,0.5
1_390,1,,,,,,,,,,
1_390,1,,,,,,,,,,
1_530,2,,,,Session3,1,2,L key 비율,,Session3,L key 비율
1_490,2,,,,3_370,26,1,0.037037037,,370,0.037037037
1_390,1,,,,3_390,14,2,0.125,,390,0.125
1_370,1,,,,3_410,22,6,0.214285714,,410,0.214285714
1_430,1,,,,3_430,16,13,0.448275862,,430,0.448275862
1_490,2,,,,3_450,20,10,0.333333333,,450,0.333333333
1_510,2,,,,3_470,11,15,0.576923077,,470,0.576923077
1_490,2,,,,3_490,16,12,0.428571429,,490,0.428571429
1_530,2,,,,3_510,3,16,0.842105263,,510,0.842105263
1_530,2,,,,3_530,6,16,0.727272727,,530,0.727272727
1_510,2,,,,,,,,,466.0397681,0.5
1_410,1,,,,,,,,,,
1_470,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_370,1,,,,,,,,,,
1_470,2,,,,,,,,,,
1_530,2,,,,,,,,,,
1_470,1,,,,,,,,,,
1_390,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_390,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_390,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_490,1,,,,,,,,,,
1_490,2,,,,,,,,,,
1_510,2,,,,,,,,,,
1_450,1,,,,,,,,,,
1_370,1,,,,,,,,,,
1_390,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_530,2,,,,,,,,,,
1_510,2,,,,,,,,,,
1_390,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_370,1,,,,,,,,,,
1_490,2,,,,,,,,,,
1_490,1,,,,,,,,,,
1_410,2,,,,,,,,,,
1_470,2,,,,,,,,,,
1_530,2,,,,,,,,,,
1_510,2,,,,,,,,,,
1_490,1,,,,,,,,,,
1_470,2,,,,,,,,,,
1_390,1,,,,,,,,,,
1_490,2,,,,,,,,,,
1_410,1,,,,,,,,,,
1_370,1,,,,,,,,,,
1_430,1,,,,,,,,,,
1_490,2,,,,,,,,,,
1_450,1,,,,,,,,,,
1_410,1,,,,,,,,,,
1_410,1,,,,,,,,,,
1_370,1,,,,,,,,,,
1_490,2,,,,,,,,,,
1_410,1,,,,,,,,,,
1_410,1,,,,,,,,,,
1_450,2,,,,,,,,,,
1_430,1,,,,,,,,,,
1_390,1,,,,,,,,,,
1_410,2,,,,,,,,,,
1_430,1,,,,,,,,,,
1_390,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_450,1,,,,,,,,,,
1_490,2,,,,,,,,,,
1_470,2,,,,,,,,,,
1_390,1,,,,,,,,,,
1_370,1,,,,,,,,,,
1_410,1,,,,,,,,,,
1_470,1,,,,,,,,,,
1_450,1,,,,,,,,,,
1_370,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_510,2,,,,,,,,,,
1_390,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_470,2,,,,,,,,,,
1_410,1,,,,,,,,,,
1_470,2,,,,,,,,,,
1_450,1,,,,,,,,,,
1_390,2,,,,,,,,,,
1_370,1,,,,,,,,,,
1_410,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_410,1,,,,,,,,,,
1_390,1,,,,,,,,,,
1_370,1,,,,,,,,,,
1_470,2,,,,,,,,,,
1_450,2,,,,,,,,,,
1_390,1,,,,,,,,,,
1_410,2,,,,,,,,,,
1_450,2,,,,,,,,,,
1_530,2,,,,,,,,,,
1_370,1,,,,,,,,,,
1_370,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_430,1,,,,,,,,,,
1_390,2,,,,,,,,,,
1_530,2,,,,,,,,,,
1_450,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_530,2,,,,,,,,,,
1_510,2,,,,,,,,,,
1_410,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_370,1,,,,,,,,,,
1_370,2,,,,,,,,,,
1_370,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_490,2,,,,,,,,,,
1_410,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_490,1,,,,,,,,,,
1_490,1,,,,,,,,,,
1_390,1,,,,,,,,,,
1_430,1,,,,,,,,,,
1_450,1,,,,,,,,,,
1_470,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_490,2,,,,,,,,,,
1_510,2,,,,,,,,,,
1_510,2,,,,,,,,,,
1_370,1,,,,,,,,,,
1_370,1,,,,,,,,,,
1_450,1,,,,,,,,,,
1_450,1,,,,,,,,,,
1_430,1,,,,,,,,,,
1_410,1,,,,,,,,,,
1_430,1,,,,,,,,,,
1_470,2,,,,,,,,,,
1_470,1,,,,,,,,,,
1_450,1,,,,,,,,,,
1_470,1,,,,,,,,,,
1_510,1,,,,,,,,,,
1_370,2,,,,,,,,,,
1_430,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_530,2,,,,,,,,,,
1_510,2,,,,,,,,,,
1_470,1,,,,,,,,,,
1_490,2,,,,,,,,,,
1_490,2,,,,,,,,,,
1_510,2,,,,,,,,,,
1_410,1,,,,,,,,,,
1_510,1,,,,,,,,,,
1_490,2,,,,,,,,,,
1_410,1,,,,,,,,,,
1_470,1,,,,,,,,,,
1_470,2,,,,,,,,,,
1_470,2,,,,,,,,,,
1_410,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_530,2,,,,,,,,,,
1_470,2,,,,,,,,,,
1_530,2,,,,,,,,,,
1_510,1,,,,,,,,,,
1_470,2,,,,,,,,,,
1_470,2,,,,,,,,,,
1_450,1,,,,,,,,,,
1_370,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_370,1,,,,,,,,,,
1_410,1,,,,,,,,,,
1_470,1,,,,,,,,,,
1_450,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_450,1,,,,,,,,,,
1_390,1,,,,,,,,,,
1_390,1,,,,,,,,,,
1_470,1,,,,,,,,,,
1_450,1,,,,,,,,,,
1_450,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_450,1,,,,,,,,,,
1_470,2,,,,,,,,,,
1_410,1,,,,,,,,,,
1_450,1,,,,,,,,,,
1_430,1,,,,,,,,,,
1_510,2,,,,,,,,,,
1_490,2,,,,,,,,,,
1_370,1,,,,,,,,,,
1_430,2,,,,,,,,,,
1_510,1,,,,,,,,,,
1_410,1,,,,,,,,,,
1_370,2,,,,,,,,,,
1_530,2,,,,,,,,,,
1_490,2,,,,,,,,,,
1_470,2,,,,,,,,,,
1_450,1,,,,,,,,,,
1_490,2,,,,,,,,,,
1_390,1,,,,,,,,,,
1_530,2,,,,,,,,,,
1_390,1,,,,,,,,,,
1_510,2,,,,,,,,,,
2_490,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_510,2,,,,,,,,,,
2_430,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_450,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_470,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_450,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_450,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_450,1,,,,,,,,,,
2_490,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_450,1,,,,,,,,,,
2_510,2,,,,,,,,,,
2_530,2,,,,,,,,,,
2_510,2,,,,,,,,,,
2_430,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_450,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_510,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_430,1,,,,,,,,,,
2_510,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_410,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_470,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_470,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_510,2,,,,,,,,,,
2_510,2,,,,,,,,,,
2_530,2,,,,,,,,,,
2_490,2,,,,,,,,,,
2_430,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_510,1,,,,,,,,,,
2_470,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_450,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_470,2,,,,,,,,,,
2_470,2,,,,,,,,,,
2_370,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_510,2,,,,,,,,,,
2_450,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_510,2,,,,,,,,,,
2_450,2,,,,,,,,,,
2_450,2,,,,,,,,,,
2_450,2,,,,,,,,,,
2_470,2,,,,,,,,,,
2_450,2,,,,,,,,,,
2_430,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_530,2,,,,,,,,,,
2_370,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_490,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_450,1,,,,,,,,,,
2_450,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_470,2,,,,,,,,,,
2_470,2,,,,,,,,,,
2_430,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_510,2,,,,,,,,,,
2_530,2,,,,,,,,,,
2_470,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_370,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_450,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_370,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_470,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_470,2,,,,,,,,,,
2_530,2,,,,,,,,,,
2_450,2,,,,,,,,,,
2_510,2,,,,,,,,,,
2_370,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_410,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_430,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_450,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_510,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_430,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_510,2,,,,,,,,,,
2_470,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_470,2,,,,,,,,,,
2_410,1,,,,,,,,,,
2_510,2,,,,,,,,,,
2_470,2,,,,,,,,,,
2_450,1,,,,,,,,,,
2_430,2,,,,,,,,,,
2_530,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_490,2,,,,,,,,,,
2_370,1,,,,,,,,,,
2_450,2,,,,,,,,,,
2_410,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_430,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_490,2,,,,,,,,,,
2_410,1,,,,,,,,,,
2_450,2,,,,,,,,,,
2_410,1,,,,,,,,,,
2_510,2,,,,,,,,,,
2_510,2,,,,,,,,,,
2_370,1,,,,,,,,,,
2_430,2,,,,,,,,,,
2_490,2,,,,,,,,,,
2_370,1,,,,,,,,,,
2_450,2,,,,,,,,,,
2_430,2,,,,,,,,,,
2_430,1,,,,,,,,,,
2_450,1,,,,,,,,,,
2_470,1,,,,,,,,,,
2_390,1,,,,,,,,,,
2_530,2,,,,,,,,,,
2_370,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_470,1,,,,,,,,,,
2_370,1,,,,,,,,,,
2_490,2,,,,,,,,,,
2_450,1,,,,,,,,,,
2_470,2,,,,,,,,,,
2_390,1,,,,,,,,,,
2_410,1,,,,,,,,,,
2_470,2,,,,,,,,,,
2_430,2,,,,,,,,,,
2_510,2,,,,,,,,,,
2_490,2,,,,,,,,,,
2_530,2,,,,,,,,,,
2_490,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_430,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_410,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_390,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_410,2,,,,,,,,,,
3_390,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_410,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_410,2,,,,,,,,,,
3_470,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_530,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_510,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_510,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_410,1,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_390,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_490,2,,,,,,,,,,
3_490,1,,,,,,,,,,
3_490,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_470,2,,,,,,,,,,
3_410,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_430,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_430,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_490,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_390,2,,,,,,,,,,
3_390,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_470,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_530,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_530,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_530,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_450,2,,,,,,,,,,
3_490,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_430,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_530,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_430,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_370,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_430,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_470,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_450,2,,,,,,,,,,
3_410,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_410,2,,,,,,,,,,
3_410,1,,,,,,,,,,
3_470,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_390,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_430,1,,,,,,,,,,
3_430,1,,,,,,,,,,
3_510,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_410,2,,,,,,,,,,
3_410,2,,,,,,,,,,
3_510,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_470,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_370,2,,,,,,,,,,
3_530,1,,,,,,,,,,
3_450,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_490,1,,,,,,,,,,
3_510,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_530,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_450,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_450,2,,,,,,,,,,
3_390,1,,,,,,,,,,
3_410,1,,,,,,,,,,
3_490,1,,,,,,,,,,
3_390,1,,,,,,,,,,
3_470,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_370,1,,,,,,,,,,
3_450,1,,,,,,,,,,
3_430,2,,,,,,,,,,
3_530,2,,,,,,,,,,
3_450,2,,,,,,,,,,
3_530,2,,,,,,,,,,
